Distance [nm],Force WLC data [pN],Force WLC+FJC data [pN]
905.2527828190591,0.7874024209414219,0.7755785951941621
907.2527828190591,0.791213217509227,0.7791987955082362
909.2527828190591,0.7950735717850708,0.7828648053325795
911.2527828190591,0.7989843390937525,0.7865773907243956
913.2527828190591,0.8029463930883227,0.7903373335635591
915.2527828190591,0.8069606262170939,0.7941454319387553
917.2527828190591,0.811027950204323,0.7980025005443965
919.2527828190591,0.815149296545147,0.8019093710886539
921.2527828190591,0.8193256170149854,0.8058668927129489
923.2527828190591,0.823557884194233,0.8098759324232624
925.2527828190591,0.8278470920084291,0.8139373755336365
927.2527828190591,0.8321942562848252,0.8180521261222462
929.2527828190591,0.8366004153252251,0.8222211075004393
931.2527828190591,0.8410666304966159,0.8264452626951597
933.2527828190591,0.8455939868391655,0.8307255549451675
935.2527828190591,0.850183593692893,0.8350629682115049
937.2527828190591,0.8548365853434805,0.8394585077026547
939.2527828190591,0.8595541216875122,0.8439132004148617
941.2527828190591,0.8643373889184747,0.8484280956881074
943.2527828190591,0.8691876002336048,0.8530042657782324
945.2527828190591,0.8741059965626223,0.8576428064457313
947.2527828190591,0.8790938473191008,0.8623448375617568
949.2527828190591,0.8841524511751007,0.8671115037318895
951.2527828190591,0.8892831368601466,0.8719439749383489
953.2527828190591,0.8944872639848884,0.8768434472006155
955.2527828190591,0.8997662238911235,0.8818111432566962
957.2527828190591,0.9051214405282368,0.8868483132634519
959.2527828190591,0.9105543713574664,0.891956235518363
961.2527828190591,0.9160665082851014,0.8971362172027098
963.2527828190591,0.9216593786252107,0.9023895951469949
965.2527828190591,0.9273345460930673,0.9077177366193452
967.2527828190591,0.9330936118309725,0.9131220401376445
969.2527828190591,0.9389382154664392,0.9186039363061911
971.2527828190591,0.9448700362051201,0.924164888677685
973.2527828190591,0.9508907939590503,0.9298063946413901
975.2527828190591,0.9570022505113829,0.935529986338347
977.2527828190591,0.9632062107195227,0.9413372316045314
979.2527828190591,0.9695045237576241,0.9472297349428918
981.2527828190591,0.9758990843996744,0.9532091385252481
983.2527828190591,0.9823918343454099,0.9592771232250339
985.2527828190591,0.9889847635896589,0.9654354096819313
987.2527828190591,0.9956799118376867,0.9716857593994732
989.2527828190591,1.002479369967364,0.9780299758767164
991.2527828190591,1.009385281540435,0.9844699057751505
993.2527828190591,1.016399844364574,0.9910074401220224
995.2527828190591,1.0235253121080095,0.9976445155513252
997.2527828190591,1.030763995968559,1.0043831155837142
999.2527828190591,1.038118266399795,1.0112252719466968
1001.2527828190591,1.0455905548953583,1.018173065936448
1003.2527828190591,1.0531833558344945,1.0252286298226851
1005.2527828190591,1.060899228390841,1.032394148298067
1007.2527828190591,1.0687407985066701,1.0396718599736465
1009.2527828190591,1.076710760935288,1.0470640589219518
1011.2527828190591,1.0848118813540029,1.0545730962693252
1013.2527828190591,1.093046998550537,1.0622013818392262
1015.2527828190591,1.1014190266852242,1.0699513858482348
1017.2527828190591,1.1099309576325882,1.0778256406565754
1019.2527828190591,1.1185858634046073,1.0858267425750465
1021.2527828190591,1.127386898659164,1.0939573537302894
1023.2527828190591,1.136337303296894,1.102220203990415
1025.2527828190591,1.145440405149738,1.1106180929530696
1027.2527828190591,1.1546996227648125,1.1191538919981125
1029.2527828190591,1.1641184682870036,1.1278305464071061
1031.2527828190591,1.1737005504444542,1.136651077551962
1033.2527828190591,1.1834495776407823,1.145618585155124
1035.2527828190591,1.1933693611576532,1.1547362496237497
1037.2527828190591,1.2034638184728652,1.1640073344604807
1039.2527828190591,1.2137369766976565,1.1734351887534171
1041.2527828190591,1.224192976137981,1.18302324974807
1043.2527828190591,1.2348360739849826,1.1927750455041026
1045.2527828190591,1.2456706481390216,1.2026941976398173
1047.2527828190591,1.2567012011727914,1.2127844241673882
1049.2527828190591,1.2679323644389302,1.2230495424220194
1051.2527828190591,1.2793689023274797,1.2334934720882256
1053.2527828190591,1.291015716679151,1.2441202383266303
1055.2527828190591,1.302877851360282,1.254933975004709
1057.2527828190591,1.3149604970060156,1.2659389280353701
1059.2527828190591,1.327268995937661,1.277139458825153
1061.2527828190591,1.3398088472615046,1.288540047841242
1063.2527828190591,1.3525857121556473,1.3001452982930044
1065.2527828190591,1.365605419352224,1.3119599399394197
1067.2527828190591,1.3788739708226276,1.3239888330230156
1069.2527828190591,1.3923975476730024,1.3362369723354715
1071.2527828190591,1.406182516258791,1.3487094914193252
1073.2527828190591,1.4202354345258956,1.361411666910417
1075.2527828190591,1.4345630585873965,1.3743489230258288
1077.2527828190591,1.4491723495447704,1.3875268362019302
1079.2527828190591,1.46407048056265,1.400951139890054
1081.2527828190591,1.4792648442063938,1.4146277295072351
1083.2527828190591,1.4947630600527861,1.4285626675607337
1085.2527828190591,1.510572982583351,1.4427621889383098
1087.2527828190591,1.5267027093709973,1.4572327063782038
1089.2527828190591,1.543160589570721,1.4719808161218915
1091.2527828190591,1.5599552327249557,1.4870133037560787
1093.2527828190591,1.5770955178953971,1.502337150250131
1095.2527828190591,1.5945906031324557,1.5179595381953102
1097.2527828190591,1.6124499352943817,1.5338878582524123
1099.2527828190591,1.6306832602282202,1.5501297158144922
1101.2527828190591,1.6493006333249514,1.5666929378916397
1103.2527828190591,1.6683124304614014,1.5835855802248735
1105.2527828190591,1.6877293593420535,1.600815934636451
1107.2527828190591,1.7075624712535347,1.618392536624032
1109.2527828190591,1.7278231732453224,1.6363241732063836
1111.2527828190591,1.7485232407499782,1.6546198910295136
1113.2527828190591,1.7696748306564873,1.6732890047358764
